lat,lon,AADT,year,route,ffc
42.400423,-71.12912,1154,,107099,7
42.400674,-71.128839,1154,,107099,7
42.372562,-70.995149,1154,,107102,7
42.428403,-71.095063,1154,,107105,7
42.377798,-71.102829,1154,,107109,7
42.377801,-71.102173,1154,,107109,7
42.377802,-71.101878,1154,,107109,7
42.240039,-71.097921,1154,,107111,7
42.330075,-71.111298,11262,2021,1523,4
42.399781,-71.11672,1154,,107117,7
42.436451,-71.047441,1154,,107118,7
42.441421,-71.048404,1154,,107128,7
42.335689,-71.082846,1154,,107135,7
42.366572,-71.077884,6618,2021,2413,5
42.393658,-71.098997,1154,,107139,7
42.304963,-71.116367,1154,,107148,7
42.312073,-71.057782,1154,,107151,7
42.297936,-71.00734,1154,,107154,7
42.28046,-71.023842,1154,,107184,7
42.280336,-71.023341,1154,,107184,7
42.280305,-71.022875,1154,,107184,7
42.32195,-71.082685,1154,,107195,7
42.322518,-71.082852,1154,,107195,7
42.333413,-71.029176,1154,,107197,7
42.266244,-71.126731,1154,,107200,7
42.301025,-71.18365,1154,,107214,7
42.302595,-71.184153,1154,,107214,7
42.411893,-71.118875,1154,,107230,7
42.412786,-71.118312,1154,,107230,7
42.420383,-71.081956,1154,,107236,7
42.420377,-71.080714,1154,,107236,7
42.420377,-71.079914,16403,2017,1275,4
42.420378,-71.078418,1154,,107236,7
42.368723,-71.176367,1154,,107249,7
42.369831,-71.175989,1154,,107249,7
42.371567,-71.175372,1154,,107249,7
42.373326,-71.17478,1154,,107249,7
42.302051,-71.070698,1154,,107261,7
42.302519,-71.068503,1154,,107261,7
42.321277,-71.077489,10858,2021,1605,4
42.369008,-71.09367,1154,,107272,7
42.369133,-71.092826,1154,,107272,7
42.36893,-71.092311,1154,,107272,7
42.368382,-71.090581,9143,2021,1478,4
42.40826,-71.147171,1154,,107283,7
42.408665,-71.147699,1154,,107283,7
42.370232,-71.088791,1154,,107296,7
42.214996,-71.023462,1154,,107297,7
42.214159,-71.023381,1154,,107297,7
42.213869,-71.023261,1154,,107297,7
42.213669,-71.023171,1154,,107297,7
42.21336,-71.023282,1154,,107297,7
42.213489,-71.022761,1154,,107297,7
42.396773,-71.169147,1154,,107299,7
42.397343,-71.168672,1154,,107299,7
42.397763,-71.168282,1154,,107299,7
42.397996,-71.167592,1154,,107299,7
42.398408,-71.166327,1154,,107299,7
42.399433,-71.163259,1154,,107299,7
42.405997,-71.018885,1154,,107304,7
42.326478,-71.185365,1154,,107305,7
42.257088,-71.157697,1154,,107311,7
42.42014,-70.999741,1154,,107314,7
42.420525,-70.999531,1154,,107314,7
42.343014,-71.08654,1154,,107325,7
42.437007,-71.099967,1154,,107350,7
42.438099,-71.096853,1154,,107350,7
42.438483,-71.094573,1154,,107350,7
42.439265,-71.09285,1154,,107350,7
42.439277,-71.092831,1154,,107350,7
42.304812,-71.078503,1154,,107356,7
42.30454,-71.077717,1154,,107356,7
42.267669,-71.176844,1154,,107364,7
42.233419,-71.002041,1154,,107373,7
42.233899,-71.000401,1154,,107373,7
42.230426,-71.142256,1154,,107381,7
42.337197,-71.043126,1154,,107385,7
42.33725,-71.040489,1154,,107385,7
42.337262,-71.039977,1154,,107385,7
42.337255,-71.039265,1154,,107385,7
42.337265,-71.038721,1154,,107385,7
42.337291,-71.037476,5815,2021,3140,5
42.337331,-71.035487,14484,2019,121,3
42.337346,-71.033394,1154,,107385,7
42.241989,-71.195833,1154,,107397,7
42.24226,-71.19536,1154,,107397,7
42.331919,-71.151181,1154,,107410,7
42.332679,-71.150731,1154,,107410,7
42.265645,-71.162121,1154,,107414,7
42.265996,-71.162096,1154,,107414,7
42.323609,-71.094057,1154,,107419,7
42.407254,-71.06302,1154,,107423,7
42.407265,-71.062114,12168,2020,344,3
42.217923,-70.964412,1154,,107424,7
42.218129,-70.963951,1154,,107424,7
42.218489,-70.962941,1154,,107424,7
42.218771,-70.9618,1154,,107424,7
42.412868,-71.127942,1154,,107427,7
42.397389,-71.093065,1154,,107433,7
42.398188,-71.093531,1154,,107433,7
42.403703,-71.133361,1154,,107439,7
42.403831,-71.133208,1154,,107439,7
42.403937,-71.133075,1154,,107439,7
42.330965,-71.116296,1154,,107441,7
42.33149,-71.115988,1154,,107441,7
42.362708,-71.155836,1154,,107447,7
42.363026,-71.15586,1154,,107447,7
42.363663,-71.155931,1154,,107447,7
42.364656,-71.156055,1154,,107447,7
42.365059,-71.156097,1154,,107447,7
42.365395,-71.15614,1154,,107447,7
42.365915,-71.156174,1154,,107447,7
42.366306,-71.155902,1154,,107447,7
42.366606,-71.15545,1154,,107447,7
42.252602,-71.117882,1154,,107449,7
42.253621,-71.116124,1154,,107449,7
42.254155,-71.115196,1154,,107449,7
42.255015,-71.113693,1154,,107449,7
42.25578,-71.112399,1154,,107449,7
42.256028,-71.111968,1154,,107449,7
42.256451,-71.111256,1154,,107449,7
42.256664,-71.110859,1154,,107449,7
42.286612,-71.126577,1154,,107486,7
42.414291,-71.162294,1154,,107493,7
42.414528,-71.162121,1154,,107493,7
42.34713,-71.049568,1154,,107508,7
42.284656,-71.16137,1154,,107514,7
42.445031,-71.00777,1154,,107525,7
42.323557,-71.074279,1154,,107533,7
42.321545,-71.076151,1154,,107533,7
